sampleID	alias	taxID	species	popID	SRA	biosample	thap
AFG.1	AFG_1m_396	39442	Mus_musculus_musculus	AFG	ERR1425295,ERR1425296,ERR1425297,ERR1425298	SAMEA4009698	1
AFG.2	AFG_2m_413	39442	Mus_musculus_musculus	AFG	ERR1425299,ERR1425300,ERR1425301,ERR1425302	SAMEA4009699	0
AFG.3	AFG_3m_416	39442	Mus_musculus_musculus	AFG	ERR1425303,ERR1425304,ERR1425305,ERR1425306	SAMEA4009700	1
AFG.4	AFG_4m_424	39442	Mus_musculus_musculus	AFG	ERR1425307,ERR1425308,ERR1425309,ERR1425310	SAMEA4009701	0
AFG.5	AFG_5f_435	39442	Mus_musculus_musculus	AFG	ERR1425311,ERR1425312,ERR1425313,ERR1425314	SAMEA4009702	0
AFG.6	AFG_6m_444	39442	Mus_musculus_musculus	AFG	ERR1425315,ERR1425316,ERR1425317,ERR1425318	SAMEA4009703	1
APO.1	Apo	134910	Apodemus_uralensis	APO	ERR1101669	SAMEA3638910	NA
CAST1.1	CAS_IN_01m_H12	10091	Mus_musculus_castaneus	CAST1	ERR019144,ERR019199,ERR019200,ERR019201,ERR019202,ERR019203,ERR019204,ERR019205,ERR019222,ERR019259,ERR019260,ERR019261	SAMEA941304	1
CAST1.2	CAS_IN_02f_H14	10091	Mus_musculus_castaneus	CAST1	ERR019192,ERR019193,ERR019194,ERR019195,ERR019196,ERR019197,ERR019198,ERR019235,ERR019236	SAMEA941336	1
CAST1.3	CAS_IN_03f_H15	10091	Mus_musculus_castaneus	CAST1	ERR019145,ERR019146,ERR019147,ERR019148,ERR019149,ERR019150,ERR019151,ERR019219,ERR019250,ERR019251,ERR019252,ERR019253,ERR019254	SAMEA941343	0
CAST1.4	CAS_IN_04f_H24	10091	Mus_musculus_castaneus	CAST1	ERR019187,ERR019188,ERR019189,ERR019190,ERR019191,ERR019216,ERR019255,ERR019256,ERR019257,ERR019258	SAMEA941338	0
CAST1.5	CAS_IN_05f_H26	10091	Mus_musculus_castaneus	CAST1	ERR019153,ERR019154,ERR019155,ERR019156,ERR019157,ERR019158,ERR019159,ERR019213,ERR019227,ERR019228,ERR019229,ERR019230,ERR019231	SAMEA941338	0
CAST1.6	CAS_IN_06f_H27	10091	Mus_musculus_castaneus	CAST1	ERR019180,ERR019181,ERR019182,ERR019183,ERR019184,ERR019185,ERR019186,ERR019220,ERR019262,ERR019263,ERR019264,ERR019265	SAMEA941347	1
CAST1.7	CAS_IN_07m_H28	10091	Mus_musculus_castaneus	CAST1	ERR019141,ERR019206,ERR019207,ERR019208,ERR019209,ERR019210,ERR019211,ERR019212,ERR019221,ERR019268,ERR019269,ERR019270,ERR019271	SAMEA941348	0
CAST1.8	CAS_IN_08f_H30	10091	Mus_musculus_castaneus	CAST1	ERR019152,ERR019218,ERR019223,ERR019224,ERR019225,ERR019226,ERR019243,ERR019244,ERR019245,ERR019246,ERR019247,ERR019248,ERR019249,ERR029417,ERR029418,ERR029419	SAMEA941341	0
CAST1.9	CAS_IN_09m_H34	10091	Mus_musculus_castaneus	CAST1	ERR019142,ERR019173,ERR019174,ERR019175,ERR019176,ERR019177,ERR019178,ERR019179,ERR019214,ERR019232,ERR019233,ERR019234,ERR019242	SAMEA941350	0
CAST1.10	CAS_IN_10f_H36	10091	Mus_musculus_castaneus	CAST1	ERR019143,ERR019166,ERR019167,ERR019168,ERR019169,ERR019170,ERR019171,ERR019172,ERR019215,ERR019237,ERR019238,ERR019239,ERR019240,ERR019241	SAMEA941306	0
CAST2.1	CAS_TW_tw1000	10091	Mus_musculus_castaneus	CAST2	ERR1681984	SAMEA4504096	NA
