seq	s	e	gc	n
chr1	0	100000	0.0	1.0
chr1	100000	200000	0.0	1.0
chr1	200000	300000	0.0	1.0
chr1	300000	400000	0.0	1.0
chr1	400000	500000	0.0	1.0
chr1	500000	600000	0.0	1.0
chr1	600000	700000	0.0	1.0
chr1	700000	800000	0.0	1.0
chr1	800000	900000	0.0	1.0
chr1	900000	1000000	0.0	1.0
chr1	1000000	1100000	0.0	1.0
chr1	1100000	1200000	0.0	1.0
chr1	1200000	1300000	0.0	1.0
chr1	1300000	1400000	0.0	1.0
chr1	1400000	1500000	0.0	1.0
chr1	1500000	1600000	0.0	1.0
chr1	1600000	1700000	0.0	1.0
chr1	1700000	1800000	0.0	1.0
chr1	1800000	1900000	0.0	1.0
chr1	1900000	2000000	0.0	1.0
chr1	2000000	2100000	0.0	1.0
chr1	2100000	2200000	0.0	1.0
chr1	2200000	2300000	0.0	1.0
chr1	2300000	2400000	0.0	1.0
chr1	2400000	2500000	0.0	1.0
chr1	2500000	2600000	0.0	1.0
chr1	2600000	2700000	0.0	1.0
chr1	2700000	2800000	0.0	1.0
chr1	2800000	2900000	0.0	1.0
chr1	2900000	3000000	0.0	1.0
chr1	3000000	3100000	0.3863	0.5
chr1	3100000	3200000	0.39047	0.0
chr1	3200000	3300000	0.38736	0.0
chr1	3300000	3400000	0.38902	0.0
chr1	3400000	3500000	0.38303	0.0
chr1	3500000	3600000	0.37993	0.0
chr1	3600000	3700000	0.38615	0.0
chr1	3700000	3800000	0.38724	0.0
chr1	3800000	3900000	0.38882	0.0
chr1	3900000	4000000	0.38597	0.0
chr1	4000000	4100000	0.38983	0.0
chr1	4100000	4200000	0.38944	0.0
chr1	4200000	4300000	0.3856	0.0
chr1	4300000	4400000	0.37996	0.0
chr1	4400000	4500000	0.39109	0.0
chr1	4500000	4600000	0.41564	0.0
chr1	4600000	4700000	0.42006	0.0
chr1	4700000	4800000	0.40777	0.0
chr1	4800000	4900000	0.4131	0.0
chr1	4900000	5000000	0.4035	0.0
chr1	5000000	5100000	0.41069	0.0
chr1	5100000	5200000	0.40589	0.0
chr1	5200000	5300000	0.40175	0.0
chr1	5300000	5400000	0.4053	0.0
chr1	5400000	5500000	0.38829	0.0
chr1	5500000	5600000	0.38975	0.0
chr1	5600000	5700000	0.39201	0.0
chr1	5700000	5800000	0.378	0.0
chr1	5800000	5900000	0.39288	0.0
chr1	5900000	6000000	0.38592	0.0
chr1	6000000	6100000	0.3879	0.0
chr1	6100000	6200000	0.3951	0.0
chr1	6200000	6300000	0.41199	0.0
chr1	6300000	6400000	0.38225	0.0
chr1	6400000	6500000	0.40716	0.0
chr1	6500000	6600000	0.4064	0.0
chr1	6600000	6700000	0.3834	0.0
chr1	6700000	6800000	0.3928	0.0
chr1	6800000	6900000	0.38222	0.0
chr1	6900000	7000000	0.40073	0.0
chr1	7000000	7100000	0.39679	0.0
chr1	7100000	7200000	0.40622	0.0
chr1	7200000	7300000	0.40007	0.0
chr1	7300000	7400000	0.39734	0.0
chr1	7400000	7500000	0.40095	0.0
chr1	7500000	7600000	0.37603	0.0
chr1	7600000	7700000	0.38407	0.0
chr1	7700000	7800000	0.39421	0.0
chr1	7800000	7900000	0.38651	0.0
chr1	7900000	8000000	0.37957	0.0
chr1	8000000	8100000	0.39078	0.0
chr1	8100000	8200000	0.38137	0.0
chr1	8200000	8300000	0.39447	0.0
chr1	8300000	8400000	0.38448	0.0
chr1	8400000	8500000	0.36898	0.0
chr1	8500000	8600000	0.37526	0.0
chr1	8600000	8700000	0.36906	0.0
chr1	8700000	8800000	0.39197	0.0
chr1	8800000	8900000	0.38008	0.0
chr1	8900000	9000000	0.38118	0.0
chr1	9000000	9100000	0.37977	0.0
chr1	9100000	9200000	0.3837	0.0
chr1	9200000	9300000	0.37896	0.0
chr1	9300000	9400000	0.39274	0.0
chr1	9400000	9500000	0.39234	0.0
chr1	9500000	9600000	0.39355	0.0
chr1	9600000	9700000	0.43124	0.0
chr1	9700000	9800000	0.38999	0.0
chr1	9800000	9900000	0.4164	0.0
chr1	9900000	10000000	0.41302	0.0
chr1	10000000	10100000	0.4165	0.0
chr1	10100000	10200000	0.40086	0.0
chr1	10200000	10300000	0.38424	0.0
chr1	10300000	10400000	0.41125	0.0
chr1	10400000	10500000	0.39893	0.0
chr1	10500000	10600000	0.39894	0.0
chr1	10600000	10700000	0.39697	0.0
chr1	10700000	10800000	0.40002	0.0
chr1	10800000	10900000	0.40141	0.0
chr1	10900000	11000000	0.39865	0.0
chr1	11000000	11100000	0.40968	0.0
chr1	11100000	11200000	0.38904	0.0
chr1	11200000	11300000	0.38513	0.0
chr1	11300000	11400000	0.39455	0.0
chr1	11400000	11500000	0.38455	0.0
chr1	11500000	11600000	0.38123	0.0
chr1	11600000	11700000	0.38709	0.0
chr1	11700000	11800000	0.39159	0.0
chr1	11800000	11900000	0.38691	0.0
chr1	11900000	12000000	0.38421	0.0
chr1	12000000	12100000	0.38531	0.0
chr1	12100000	12200000	0.39053	0.0
chr1	12200000	12300000	0.3902	0.0
chr1	12300000	12400000	0.38444	0.0
chr1	12400000	12500000	0.39049	0.0
chr1	12500000	12600000	0.40037	0.0
chr1	12600000	12700000	0.40738	0.0
chr1	12700000	12800000	0.41473	0.0
chr1	12800000	12900000	0.4318	0.0
chr1	12900000	13000000	0.42264	0.0
chr1	13000000	13100000	0.43498	0.0
chr1	13100000	13200000	0.45055	0.0
chr1	13200000	13300000	0.45166	0.0
chr1	13300000	13400000	0.43551	0.0
chr1	13400000	13500000	0.43339	0.0
chr1	13500000	13600000	0.42313	0.0
chr1	13600000	13700000	0.44385	0.0
chr1	13700000	13800000	0.41582	0.0
chr1	13800000	13900000	0.41344	0.0
chr1	13900000	14000000	0.41652	0.0
chr1	14000000	14100000	0.40238	0.0
chr1	14100000	14200000	0.41083	0.0
chr1	14200000	14300000	0.41513	0.0
chr1	14300000	14400000	0.40255	0.0
chr1	14400000	14500000	0.39588	0.0
chr1	14500000	14600000	0.40283	0.0
chr1	14600000	14700000	0.39895	0.0
chr1	14700000	14800000	0.40793	0.0
chr1	14800000	14900000	0.41086	0.0
chr1	14900000	15000000	0.39282	0.0
chr1	15000000	15100000	0.40732	0.0
chr1	15100000	15200000	0.39597	0.0
chr1	15200000	15300000	0.39371	0.0
chr1	15300000	15400000	0.40988	0.0
chr1	15400000	15500000	0.39154	0.0
chr1	15500000	15600000	0.40054	0.0
chr1	15600000	15700000	0.4018	0.0
chr1	15700000	15800000	0.40762	0.0
chr1	15800000	15900000	0.41015	0.0
chr1	15900000	16000000	0.41942	0.0
chr1	16000000	16100000	0.42106	0.0
chr1	16100000	16200000	0.43853	0.0
chr1	16200000	16300000	0.43459	0.0
chr1	16300000	16400000	0.41782	0.0
chr1	16400000	16500000	0.39664	0.0
chr1	16500000	16600000	0.40678	0.0
chr1	16600000	16700000	0.41026	0.0
chr1	16700000	16800000	0.42519	0.0
chr1	16800000	16900000	0.42396	0.0
chr1	16900000	17000000	0.40848	0.0
chr1	17000000	17100000	0.40127	0.0
chr1	17100000	17200000	0.40547	0.0
chr1	17200000	17300000	0.38781	0.0
chr1	17300000	17400000	0.38472	0.0
chr1	17400000	17500000	0.38961	0.0
chr1	17500000	17600000	0.39313	0.0
chr1	17600000	17700000	0.37648	0.0
chr1	17700000	17800000	0.38629	0.0
chr1	17800000	17900000	0.37205	0.0
chr1	17900000	18000000	0.37852	0.0
chr1	18000000	18100000	0.40105	0.0
chr1	18100000	18200000	0.41205	0.0
chr1	18200000	18300000	0.3675	0.0
chr1	18300000	18400000	0.36555	0.0
chr1	18400000	18500000	0.37396	0.0
chr1	18500000	18600000	0.37671	0.0
chr1	18600000	18700000	0.37977	0.0
chr1	18700000	18800000	0.3849	0.0
chr1	18800000	18900000	0.38098	0.0
chr1	18900000	19000000	0.38091	0.0
chr1	19000000	19100000	0.39046	0.0
chr1	19100000	19200000	0.39392	0.0
chr1	19200000	19300000	0.40002	0.0
chr1	19300000	19400000	0.39767	0.0
chr1	19400000	19500000	0.39661	0.0
chr1	19500000	19600000	0.38127	0.0
chr1	19600000	19700000	0.38127	0.0
chr1	19700000	19800000	0.38442	0.0
chr1	19800000	19900000	0.38504	0.0
chr1	19900000	20000000	0.38404	0.0
chr1	20000000	20100000	0.38842	0.0
chr1	20100000	20200000	0.38713	0.0
chr1	20200000	20300000	0.38226	0.0
chr1	20300000	20400000	0.39673	0.0
chr1	20400000	20500000	0.39144	0.0
chr1	20500000	20600000	0.40846	0.0
chr1	20600000	20700000	0.41284	0.0
chr1	20700000	20800000	0.41433	0.0
chr1	20800000	20900000	0.43655	0.0
chr1	20900000	21000000	0.43931	0.0
chr1	21000000	21100000	0.44311	0.0
chr1	21100000	21200000	0.45306	0.0
chr1	21200000	21300000	0.42978	0.0
chr1	21300000	21400000	0.42554	0.0
chr1	21400000	21500000	0.42746	0.0
chr1	21500000	21600000	0.39465	0.0
chr1	21600000	21700000	0.39101	0.0
chr1	21700000	21800000	0.3805	0.0
chr1	21800000	21900000	0.37618	0.0
chr1	21900000	22000000	0.37895	0.0
chr1	22000000	22100000	0.39557	0.0
chr1	22100000	22200000	0.39533	0.0
chr1	22200000	22300000	0.38667	0.0
chr1	22300000	22400000	0.40419	0.0
chr1	22400000	22500000	0.37795	0.0
chr1	22500000	22600000	0.38317	0.0
chr1	22600000	22700000	0.38335	0.0
chr1	22700000	22800000	0.39201	0.0
chr1	22800000	22900000	0.39269	0.0
chr1	22900000	23000000	0.39319	0.0
chr1	23000000	23100000	0.39648	0.0
chr1	23100000	23200000	0.39945	0.0
chr1	23200000	23300000	0.4004	0.0
chr1	23300000	23400000	0.39685	0.0
chr1	23400000	23500000	0.40855	0.0
chr1	23500000	23600000	0.3967	0.0
chr1	23600000	23700000	0.40622	0.0
chr1	23700000	23800000	0.41656	0.0
chr1	23800000	23900000	0.42845	0.0
chr1	23900000	24000000	0.40775	0.0
chr1	24000000	24100000	0.40493	0.0
chr1	24100000	24200000	0.40148	0.0
chr1	24200000	24300000	0.40469	0.0
chr1	24300000	24400000	0.40826	0.0
chr1	24400000	24500000	0.39273	0.0
chr1	24500000	24600000	0.38468	0.0
chr1	24600000	24700000	0.40114	0.0
chr1	24700000	24800000	0.41166	0.0
chr1	24800000	24900000	0.40071	0.0
chr1	24900000	25000000	0.39484	0.0
chr1	25000000	25100000	0.39642	0.0
chr1	25100000	25200000	0.38667	0.0
chr1	25200000	25300000	0.38347	0.0
chr1	25300000	25400000	0.38095	0.0
chr1	25400000	25500000	0.36981	0.0
chr1	25500000	25600000	0.3802	0.0
chr1	25600000	25700000	0.36595	0.0
chr1	25700000	25800000	0.37211	0.0
chr1	25800000	25900000	0.37511	0.0
chr1	25900000	26000000	0.37938379383793835	1e-05
chr1	26000000	26100000	0.37021	0.0
chr1	26100000	26200000	0.36443	0.0
chr1	26200000	26300000	0.37013	0.0
chr1	26300000	26400000	0.37253	0.0
chr1	26400000	26500000	0.37675	0.0
chr1	26500000	26600000	0.37857	0.0
chr1	26600000	26700000	0.37847	0.0
chr1	26700000	26800000	0.36641	0.0
chr1	26800000	26900000	0.35144	0.0
chr1	26900000	27000000	0.37547	0.0
chr1	27000000	27100000	0.35995	0.0
chr1	27100000	27200000	0.3718	0.0
chr1	27200000	27300000	0.38103	0.0
chr1	27300000	27400000	0.37205	0.0
chr1	27400000	27500000	0.36381	0.0
chr1	27500000	27600000	0.36348	0.0
chr1	27600000	27700000	0.3474	0.0
chr1	27700000	27800000	0.37819	0.0
chr1	27800000	27900000	0.35244	0.0
chr1	27900000	28000000	0.35805	0.0
chr1	28000000	28100000	0.3704	0.0
chr1	28100000	28200000	0.36602	0.0
chr1	28200000	28300000	0.36248	0.0
chr1	28300000	28400000	0.36143	0.0
chr1	28400000	28500000	0.37217	0.0
chr1	28500000	28600000	0.35922	0.0
chr1	28600000	28700000	0.35749	0.0
chr1	28700000	28800000	0.36972	0.0
chr1	28800000	28900000	0.36171	0.0
chr1	28900000	29000000	0.35351	0.0
chr1	29000000	29100000	0.3563	0.0
chr1	29100000	29200000	0.3509	0.0
chr1	29200000	29300000	0.35826	0.0
chr1	29300000	29400000	0.35382	0.0
chr1	29400000	29500000	0.36723	0.0
chr1	29500000	29600000	0.36899	0.0
chr1	29600000	29700000	0.39171	0.0
chr1	29700000	29800000	0.37517	0.0
chr1	29800000	29900000	0.36466	0.0
chr1	29900000	30000000	0.37477	0.0
chr1	30000000	30100000	0.37459	0.0
chr1	30100000	30200000	0.37706	0.0
chr1	30200000	30300000	0.37078	0.0
chr1	30300000	30400000	0.38887	0.0
chr1	30400000	30500000	0.38155	0.0
chr1	30500000	30600000	0.38425	0.0
chr1	30600000	30700000	0.39724	0.0
chr1	30700000	30800000	0.41328	0.0
chr1	30800000	30900000	0.40559	0.0
chr1	30900000	31000000	0.41379	0.0
chr1	31000000	31100000	0.40616	0.0
chr1	31100000	31200000	0.40372	0.0
chr1	31200000	31300000	0.39924	0.0
chr1	31300000	31400000	0.39024	0.0
chr1	31400000	31500000	0.38295	0.0
chr1	31500000	31600000	0.37692	0.0
chr1	31600000	31700000	0.37204	0.0
chr1	31700000	31800000	0.3752	0.0
chr1	31800000	31900000	0.37564	0.0
chr1	31900000	32000000	0.37825	0.0
chr1	32000000	32100000	0.36492	0.0
chr1	32100000	32200000	0.37465	0.0
chr1	32200000	32300000	0.37701	0.0
chr1	32300000	32400000	0.36982	0.0
chr1	32400000	32500000	0.38526	0.0
chr1	32500000	32600000	0.37847	0.0
chr1	32600000	32700000	0.37192	0.0
chr1	32700000	32800000	0.39052	0.0
chr1	32800000	32900000	0.38925	0.0
chr1	32900000	33000000	0.39232	0.0
chr1	33000000	33100000	0.39562	0.0
chr1	33100000	33200000	0.39086	0.0
chr1	33200000	33300000	0.40605	0.0
chr1	33300000	33400000	0.39874	0.0
chr1	33400000	33500000	0.40633	0.0
chr1	33500000	33600000	0.41948	0.0
chr1	33600000	33700000	0.42882	0.0
chr1	33700000	33800000	0.45053	0.0
chr1	33800000	33900000	0.41886	0.0
chr1	33900000	34000000	0.42967	0.0
chr1	34000000	34100000	0.43913	0.0
chr1	34100000	34200000	0.4393	0.0
chr1	34200000	34300000	0.45022	0.0
chr1	34300000	34400000	0.43528	0.0
chr1	34400000	34500000	0.44444	0.0
chr1	34500000	34600000	0.4651	0.0
chr1	34600000	34700000	0.45795	0.0
chr1	34700000	34800000	0.46402	0.0
chr1	34800000	34900000	0.46734	0.0
chr1	34900000	35000000	0.44352	0.0
chr1	35000000	35100000	0.43975	0.0
chr1	35100000	35200000	0.4245	0.0
chr1	35200000	35300000	0.43537	0.0
chr1	35300000	35400000	0.43086	0.0
chr1	35400000	35500000	0.43612	0.0
chr1	35500000	35600000	0.4285	0.0
chr1	35600000	35700000	0.43253	0.0
chr1	35700000	35800000	0.43494	0.0
chr1	35800000	35900000	0.45768	0.0
chr1	35900000	36000000	0.46455	0.0
chr1	36000000	36100000	0.45492	0.0
chr1	36100000	36200000	0.49463	0.0
chr1	36200000	36300000	0.4371	0.0
chr1	36300000	36400000	0.48591	0.0
chr1	36400000	36500000	0.47572	0.0
chr1	36500000	36600000	0.50878	0.0
chr1	36600000	36700000	0.49792	0.0
chr1	36700000	36800000	0.47342	0.0
chr1	36800000	36900000	0.46471	0.0
chr1	36900000	37000000	0.43118	0.0
chr1	37000000	37100000	0.4362	0.0
chr1	37100000	37200000	0.45272	0.0
chr1	37200000	37300000	0.46182	0.0
chr1	37300000	37400000	0.46462	0.0
chr1	37400000	37500000	0.46818	0.0
chr1	37500000	37600000	0.44789	0.0
chr1	37600000	37700000	0.45894	0.0
chr1	37700000	37800000	0.45682	0.0
chr1	37800000	37900000	0.402	0.0
chr1	37900000	38000000	0.43971	0.0
chr1	38000000	38100000	0.42097	0.0
chr1	38100000	38200000	0.40841	0.0
chr1	38200000	38300000	0.46021	0.0
chr1	38300000	38400000	0.43902	0.0
chr1	38400000	38500000	0.44278	0.0
chr1	38500000	38600000	0.4384	0.0
chr1	38600000	38700000	0.44829	0.0
chr1	38700000	38800000	0.44215	0.0
chr1	38800000	38900000	0.44988	0.0
chr1	38900000	39000000	0.44244	0.0
chr1	39000000	39100000	0.453	0.0
chr1	39100000	39200000	0.44954	0.0
chr1	39200000	39300000	0.46324	0.0
chr1	39300000	39400000	0.46105	0.0
chr1	39400000	39500000	0.4721	0.0
chr1	39500000	39600000	0.45377	0.0
chr1	39600000	39700000	0.44464	0.0
chr1	39700000	39800000	0.47136	0.0
chr1	39800000	39900000	0.45089	0.0
chr1	39900000	40000000	0.45547	0.0
chr1	40000000	40100000	0.45273	0.0
chr1	40100000	40200000	0.4506	0.0
chr1	40200000	40300000	0.42898	0.0
chr1	40300000	40400000	0.43871	0.0
chr1	40400000	40500000	0.42713	0.0
chr1	40500000	40600000	0.41909	0.0
chr1	40600000	40700000	0.42341	0.0
chr1	40700000	40800000	0.42925	0.0
chr1	40800000	40900000	0.43386	0.0
chr1	40900000	41000000	0.43057	0.0
chr1	41000000	41100000	0.4126	0.0
chr1	41100000	41200000	0.4117	0.0
chr1	41200000	41300000	0.39906	0.0
chr1	41300000	41400000	0.39246	0.0
chr1	41400000	41500000	0.395	0.0
chr1	41500000	41600000	0.37559	0.0
chr1	41600000	41700000	0.38389	0.0
chr1	41700000	41800000	0.38519	0.0
chr1	41800000	41900000	0.37859	0.0
chr1	41900000	42000000	0.38163	0.0
chr1	42000000	42100000	0.38681	0.0
chr1	42100000	42200000	0.39511	0.0
chr1	42200000	42300000	0.41212	0.0
chr1	42300000	42400000	0.40768	0.0
chr1	42400000	42500000	0.42326	0.0
chr1	42500000	42600000	0.41516	0.0
chr1	42600000	42700000	0.43434	0.0
chr1	42700000	42800000	0.44615	0.0
chr1	42800000	42900000	0.42139	0.0
chr1	42900000	43000000	0.43404	0.0
chr1	43000000	43100000	0.43257	0.0
chr1	43100000	43200000	0.44009	0.0
chr1	43200000	43300000	0.4364	0.0
chr1	43300000	43400000	0.42556	0.0
chr1	43400000	43500000	0.4291	0.0
chr1	43500000	43600000	0.44198	0.0
chr1	43600000	43700000	0.41818	0.0
chr1	43700000	43800000	0.41962	0.0
