seq	s	e	repeat_fraction
GRCm39:chr1	3000000	3100000	0.3806
GRCm39:chr1	3100000	3200000	0.75063
GRCm39:chr1	3200000	3300000	0.57528
GRCm39:chr1	3300000	3400000	0.69304
GRCm39:chr1	3400000	3500000	0.40897
GRCm39:chr1	3500000	3600000	0.3264
GRCm39:chr1	3600000	3700000	0.55535
GRCm39:chr1	3700000	3800000	0.38817
GRCm39:chr1	3800000	3900000	0.68027
GRCm39:chr1	3900000	4000000	0.56872
GRCm39:chr1	4000000	4100000	0.62426
GRCm39:chr1	4100000	4200000	0.5579
GRCm39:chr1	4200000	4300000	0.62431
GRCm39:chr1	4300000	4400000	0.71921
GRCm39:chr1	4400000	4500000	0.5067
GRCm39:chr1	4500000	4600000	0.41339
GRCm39:chr1	4600000	4700000	0.51684
GRCm39:chr1	4700000	4800000	0.57124
GRCm39:chr1	4800000	4900000	0.5561
GRCm39:chr1	4900000	5000000	0.41846
GRCm39:chr1	5000000	5100000	0.64263
GRCm39:chr1	5100000	5200000	0.60643
GRCm39:chr1	5200000	5300000	0.63354
GRCm39:chr1	5300000	5400000	0.56561
GRCm39:chr1	5400000	5500000	0.75807
GRCm39:chr1	5500000	5600000	0.85548
GRCm39:chr1	5600000	5700000	0.66272
GRCm39:chr1	5700000	5800000	0.71426
GRCm39:chr1	5800000	5900000	0.70297
GRCm39:chr1	5900000	6000000	0.70713
GRCm39:chr1	6000000	6100000	0.73832
GRCm39:chr1	6100000	6200000	0.66671
GRCm39:chr1	6200000	6300000	0.63611
GRCm39:chr1	6300000	6400000	0.47397
GRCm39:chr1	6400000	6500000	0.57359
GRCm39:chr1	6500000	6600000	0.48489
GRCm39:chr1	6600000	6700000	0.67556
GRCm39:chr1	6700000	6800000	0.66727
GRCm39:chr1	6800000	6900000	0.19675
GRCm39:chr1	6900000	7000000	0.4914
GRCm39:chr1	7000000	7100000	0.65348
GRCm39:chr1	7100000	7200000	0.66694
GRCm39:chr1	7200000	7300000	0.55531
GRCm39:chr1	7300000	7400000	0.76102
GRCm39:chr1	7400000	7500000	0.54614
GRCm39:chr1	7500000	7600000	0.68032
GRCm39:chr1	7600000	7700000	0.66463
GRCm39:chr1	7700000	7800000	0.66619
GRCm39:chr1	7800000	7900000	0.69337
GRCm39:chr1	7900000	8000000	0.68457
GRCm39:chr1	8000000	8100000	0.7341
GRCm39:chr1	8100000	8200000	0.70838
