seq	s	e	gc	n
chr1	0	100000	0.42089	0.0
chr1	100000	200000	0.37025	0.0
chr1	200000	300000	0.3964	0.0
chr1	300000	400000	0.3681381164064923	0.61308
chr1	400000	500000	0.0	1.0
chr1	500000	600000	0.37932952017794724	0.49648
chr1	600000	700000	0.39383	0.0
chr1	700000	800000	0.4011823647294589	0.002
chr1	800000	900000	0.39379864690038385	0.52849
chr1	900000	1000000	0.38897	0.0
chr1	1000000	1100000	0.38571	0.0
chr1	1100000	1200000	0.3834	0.0
chr1	1200000	1300000	0.3864	0.0
chr1	1300000	1400000	0.4104644068135671	0.00023
chr1	1400000	1500000	0.3946907788791422	0.00023
chr1	1500000	1600000	0.38208	0.0
chr1	1600000	1700000	0.38677	0.0
chr1	1700000	1800000	0.38297	0.0
chr1	1800000	1900000	0.40403	0.0
chr1	1900000	2000000	0.37906	0.0
chr1	2000000	2100000	0.406312625250501	0.32136
chr1	2100000	2200000	0.42672016048144434	0.003
chr1	2200000	2300000	0.40841	0.0
chr1	2300000	2400000	0.37214	0.0
chr1	2400000	2500000	0.4069	0.0
chr1	2500000	2600000	0.3933	0.0
chr1	2600000	2700000	0.40345	0.0
chr1	2700000	2800000	0.38021	0.0
chr1	2800000	2900000	0.40048	0.0
chr1	2900000	3000000	0.37662	0.0
chr1	3000000	3100000	0.38012	0.0
chr1	3100000	3200000	0.42652	0.0
chr1	3200000	3300000	0.42992	0.0
chr1	3300000	3400000	0.39984	0.0
chr1	3400000	3500000	0.43383	0.0
chr1	3500000	3600000	0.43815	0.0
chr1	3600000	3700000	0.43455	0.0
chr1	3700000	3800000	0.44035	0.0
chr1	3800000	3900000	0.44699	0.0
chr1	3900000	4000000	0.43103	0.0
chr1	4000000	4100000	0.43217	0.0
chr1	4100000	4200000	0.4471	0.0
chr1	4200000	4300000	0.4132	0.0
chr1	4300000	4400000	0.42914	0.0
chr1	4400000	4500000	0.4472	0.0
chr1	4500000	4600000	0.44573	0.0
chr1	4600000	4700000	0.43921	0.0
chr1	4700000	4800000	0.44285	0.0
chr1	4800000	4900000	0.42693	0.0
chr1	4900000	5000000	0.45812	0.0
chr1	5000000	5100000	0.4598	0.0
chr1	5100000	5200000	0.44154	0.0
chr1	5200000	5300000	0.43873	0.0
chr1	5300000	5400000	0.41937	0.0
chr1	5400000	5500000	0.40379	0.0
chr1	5500000	5600000	0.40434	0.0
chr1	5600000	5700000	0.39987	0.0
chr1	5700000	5800000	0.4108	0.0
chr1	5800000	5900000	0.41659	0.0
chr1	5900000	6000000	0.43033	0.0
chr1	6000000	6100000	0.40131	0.0
chr1	6100000	6200000	0.41893	0.0
chr1	6200000	6300000	0.39901	0.0
chr1	6300000	6400000	0.39883	0.0
chr1	6400000	6500000	0.39821	0.0
chr1	6500000	6600000	0.41387	0.0
chr1	6600000	6700000	0.39383	0.0
chr1	6700000	6800000	0.41239	0.0
chr1	6800000	6900000	0.39937	0.0
chr1	6900000	7000000	0.39519	0.0
chr1	7000000	7100000	0.39326	0.0
chr1	7100000	7200000	0.40129	0.0
chr1	7200000	7300000	0.40512	0.0
chr1	7300000	7400000	0.4028	0.0
chr1	7400000	7500000	0.39416	0.0
chr1	7500000	7600000	0.41758	0.0
chr1	7600000	7700000	0.41768	0.0
chr1	7700000	7800000	0.39969	0.0
chr1	7800000	7900000	0.4009	0.0
chr1	7900000	8000000	0.39545	0.0
chr1	8000000	8100000	0.40278	0.0
chr1	8100000	8200000	0.39486	0.0
chr1	8200000	8300000	0.40531	0.0
chr1	8300000	8400000	0.39894	0.0
chr1	8400000	8500000	0.41331	0.0
chr1	8500000	8600000	0.41799	0.0
chr1	8600000	8700000	0.41615	0.0
chr1	8700000	8800000	0.41208	0.0
chr1	8800000	8900000	0.43106	0.0
chr1	8900000	9000000	0.44374	0.0
chr1	9000000	9100000	0.45506	0.0
chr1	9100000	9200000	0.4517	0.0
chr1	9200000	9300000	0.43619	0.0
chr1	9300000	9400000	0.44478	0.0
chr1	9400000	9500000	0.43204	0.0
chr1	9500000	9600000	0.42211	0.0
chr1	9600000	9700000	0.44889	0.0
chr1	9700000	9800000	0.42986	0.0
chr1	9800000	9900000	0.42713	0.0
chr1	9900000	10000000	0.4373	0.0
chr1	10000000	10100000	0.42992	0.0
chr1	10100000	10200000	0.43332	0.0
chr1	10200000	10300000	0.44422	0.0
chr1	10300000	10400000	0.4296	0.0
chr1	10400000	10500000	0.42083	0.0
chr1	10500000	10600000	0.41105	0.0
chr1	10600000	10700000	0.40674	0.0
chr1	10700000	10800000	0.40635	0.0
chr1	10800000	10900000	0.39594	0.0
chr1	10900000	11000000	0.39499	0.0
chr1	11000000	11100000	0.38128	0.0
chr1	11100000	11200000	0.38438	0.0
chr1	11200000	11300000	0.38016	0.0
chr1	11300000	11400000	0.36974	0.0
chr1	11400000	11500000	0.36922	0.0
chr1	11500000	11600000	0.37016	0.0
chr1	11600000	11700000	0.37517	0.0
chr1	11700000	11800000	0.37202	0.0
chr1	11800000	11900000	0.37445	0.0
chr1	11900000	12000000	0.37928	0.0
chr1	12000000	12100000	0.3832	0.0
chr1	12100000	12200000	0.37074	0.0
chr1	12200000	12300000	0.37315	0.0
chr1	12300000	12400000	0.36693	0.0
chr1	12400000	12500000	0.3648	0.0
chr1	12500000	12600000	0.36739	0.0
chr1	12600000	12700000	0.36486	0.0
chr1	12700000	12800000	0.36724	0.0
chr1	12800000	12900000	0.37395	0.0
chr1	12900000	13000000	0.36735	0.0
chr1	13000000	13100000	0.37829	0.0
chr1	13100000	13200000	0.37974	0.0
chr1	13200000	13300000	0.37648	0.0
chr1	13300000	13400000	0.3846	0.0
chr1	13400000	13500000	0.38793	0.0
chr1	13500000	13600000	0.39546	0.0
chr1	13600000	13700000	0.39866	0.0
chr1	13700000	13800000	0.39859	0.0
chr1	13800000	13900000	0.39527	0.0
chr1	13900000	14000000	0.42696	0.0
chr1	14000000	14100000	0.42206	0.0
chr1	14100000	14200000	0.42615	0.0
chr1	14200000	14300000	0.43073	0.0
chr1	14300000	14400000	0.40877	0.0
chr1	14400000	14500000	0.42332	0.0
chr1	14500000	14600000	0.43233	0.0
chr1	14600000	14700000	0.4432	0.0
chr1	14700000	14800000	0.44241	0.0
chr1	14800000	14900000	0.45255	0.0
chr1	14900000	15000000	0.45069	0.0
chr1	15000000	15100000	0.42594	0.0
chr1	15100000	15200000	0.43267	0.0
chr1	15200000	15300000	0.43004	0.0
chr1	15300000	15400000	0.42919	0.0
chr1	15400000	15500000	0.42533	0.0
chr1	15500000	15600000	0.43535	0.0
chr1	15600000	15700000	0.42608	0.0
chr1	15700000	15800000	0.43917	0.0
chr1	15800000	15900000	0.43207	0.0
chr1	15900000	16000000	0.42698	0.0
chr1	16000000	16100000	0.4298	0.0
chr1	16100000	16200000	0.44159	0.0
chr1	16200000	16300000	0.43668	0.0
chr1	16300000	16400000	0.44334	0.0
chr1	16400000	16500000	0.42795	0.0
chr1	16500000	16600000	0.45535	0.0
chr1	16600000	16700000	0.46386	0.0
chr1	16700000	16800000	0.46324	0.0
chr1	16800000	16900000	0.45823	0.0
chr1	16900000	17000000	0.42449	0.0
chr1	17000000	17100000	0.43561	0.0
chr1	17100000	17200000	0.43623	0.0
chr1	17200000	17300000	0.41889	0.0
chr1	17300000	17400000	0.41676	0.0
chr1	17400000	17500000	0.41029	0.0
chr1	17500000	17600000	0.419	0.0
chr1	17600000	17700000	0.40674	0.0
chr1	17700000	17800000	0.44635	0.0
chr1	17800000	17900000	0.43865	0.0
chr1	17900000	18000000	0.43319	0.0
chr1	18000000	18100000	0.40916	0.0
chr1	18100000	18200000	0.40654	0.0
chr1	18200000	18300000	0.39545	0.0
chr1	18300000	18400000	0.39301	0.0
chr1	18400000	18500000	0.38871	0.0
chr1	18500000	18600000	0.40551	0.0
chr1	18600000	18700000	0.40568	0.0
chr1	18700000	18800000	0.40416	0.0
chr1	18800000	18900000	0.40784	0.0
chr1	18900000	19000000	0.41187	0.0
chr1	19000000	19100000	0.42354	0.0
chr1	19100000	19200000	0.40619	0.0
chr1	19200000	19300000	0.39242	0.0
chr1	19300000	19400000	0.39006	0.0
chr1	19400000	19500000	0.39415	0.0
chr1	19500000	19600000	0.38784	0.0
chr1	19600000	19700000	0.37895	0.0
chr1	19700000	19800000	0.38829	0.0
chr1	19800000	19900000	0.37278	0.0
chr1	19900000	20000000	0.39766	0.0
chr1	20000000	20100000	0.39414	0.0
chr1	20100000	20200000	0.39744	0.0
chr1	20200000	20300000	0.40094	0.0
chr1	20300000	20400000	0.42596	0.0
chr1	20400000	20500000	0.40292	0.0
chr1	20500000	20600000	0.40555	0.0
chr1	20600000	20700000	0.40521	0.0
chr1	20700000	20800000	0.40654	0.0
chr1	20800000	20900000	0.42505	0.0
chr1	20900000	21000000	0.41332	0.0
chr1	21000000	21100000	0.40036	0.0
chr1	21100000	21200000	0.41903	0.0
chr1	21200000	21300000	0.41395	0.0
chr1	21300000	21400000	0.41174	0.0
chr1	21400000	21500000	0.42176	0.0
chr1	21500000	21600000	0.42219	0.0
chr1	21600000	21700000	0.43829	0.0
chr1	21700000	21800000	0.44569	0.0
chr1	21800000	21900000	0.43902	0.0
chr1	21900000	22000000	0.43976	0.0
chr1	22000000	22100000	0.43431	0.0
chr1	22100000	22200000	0.43412	0.0
chr1	22200000	22300000	0.42431	0.0
chr1	22300000	22400000	0.43439	0.0
chr1	22400000	22500000	0.4262	0.0
chr1	22500000	22600000	0.42994	0.0
chr1	22600000	22700000	0.4234	0.0
chr1	22700000	22800000	0.41226	0.0
chr1	22800000	22900000	0.41373	0.0
chr1	22900000	23000000	0.41635	0.0
chr1	23000000	23100000	0.43023	0.0
chr1	23100000	23200000	0.4084	0.0
chr1	23200000	23300000	0.41029	0.0
chr1	23300000	23400000	0.42195	0.0
chr1	23400000	23500000	0.43223	0.0
chr1	23500000	23600000	0.40992	0.0
chr1	23600000	23700000	0.41065	0.0
chr1	23700000	23800000	0.4019	0.0
chr1	23800000	23900000	0.41533	0.0
chr1	23900000	24000000	0.40793	0.0
chr1	24000000	24100000	0.38954	0.0
chr1	24100000	24200000	0.40096	0.0
chr1	24200000	24300000	0.4083	0.0
chr1	24300000	24400000	0.41196	0.0
chr1	24400000	24500000	0.41414	0.0
chr1	24500000	24600000	0.42275	0.0
chr1	24600000	24700000	0.43917	0.0
chr1	24700000	24800000	0.44858	0.0
chr1	24800000	24900000	0.44307	0.0
chr1	24900000	25000000	0.44209	0.0
chr1	25000000	25100000	0.43498	0.0
chr1	25100000	25200000	0.42437	0.0
chr1	25200000	25300000	0.42093	0.0
chr1	25300000	25400000	0.42234	0.0
chr1	25400000	25500000	0.40445	0.0
chr1	25500000	25600000	0.38614	0.0
chr1	25600000	25700000	0.38235	0.0
chr1	25700000	25800000	0.38101	0.0
chr1	25800000	25900000	0.36253	0.0
chr1	25900000	26000000	0.36866	0.0
chr1	26000000	26100000	0.38127	0.0
chr1	26100000	26200000	0.36755	0.0
chr1	26200000	26300000	0.37718	0.0
chr1	26300000	26400000	0.39889	0.0
chr1	26400000	26500000	0.38496	0.0
chr1	26500000	26600000	0.37884	0.0
chr1	26600000	26700000	0.37467	0.0
chr1	26700000	26800000	0.38016	0.0
chr1	26800000	26900000	0.37349	0.0
chr1	26900000	27000000	0.36539	0.0
chr1	27000000	27100000	0.37231	0.0
chr1	27100000	27200000	0.37576	0.0
chr1	27200000	27300000	0.36391	0.0
chr1	27300000	27400000	0.37544	0.0
chr1	27400000	27500000	0.36881	0.0
chr1	27500000	27600000	0.38446	0.0
chr1	27600000	27700000	0.39136	0.0
