seq	s	e	repeat_fraction
GRCr8:chr1	0	100000	0.72149
GRCr8:chr1	100000	200000	0.78431
GRCr8:chr1	200000	300000	0.64888
GRCr8:chr1	300000	400000	0.282
GRCr8:chr1	500000	600000	0.39344
GRCr8:chr1	600000	700000	0.84549
GRCr8:chr1	700000	800000	0.70775
GRCr8:chr1	800000	900000	0.27082
GRCr8:chr1	900000	1000000	0.88245
GRCr8:chr1	1000000	1100000	0.6838
GRCr8:chr1	1100000	1200000	0.75231
GRCr8:chr1	1200000	1300000	0.66657
GRCr8:chr1	1300000	1400000	0.66401
GRCr8:chr1	1400000	1500000	0.8259
GRCr8:chr1	1500000	1600000	0.75792
GRCr8:chr1	1600000	1700000	0.68739
GRCr8:chr1	1700000	1800000	0.70259
GRCr8:chr1	1800000	1900000	0.76737
GRCr8:chr1	1900000	2000000	0.79493
GRCr8:chr1	2000000	2100000	0.48221
GRCr8:chr1	2100000	2200000	0.46063
GRCr8:chr1	2200000	2300000	0.63483
GRCr8:chr1	2300000	2400000	0.73429
GRCr8:chr1	2400000	2500000	0.7884
GRCr8:chr1	2500000	2600000	0.72593
GRCr8:chr1	2600000	2700000	0.68179
GRCr8:chr1	2700000	2800000	0.74471
GRCr8:chr1	2800000	2900000	0.66297
GRCr8:chr1	2900000	3000000	0.77179
GRCr8:chr1	3000000	3100000	0.71342
GRCr8:chr1	3100000	3200000	0.48908
GRCr8:chr1	3200000	3300000	0.51219
GRCr8:chr1	3300000	3400000	0.60148
GRCr8:chr1	3400000	3500000	0.46791
GRCr8:chr1	3500000	3600000	0.48126
GRCr8:chr1	3600000	3700000	0.42876
GRCr8:chr1	3700000	3800000	0.44373
GRCr8:chr1	3800000	3900000	0.56188
GRCr8:chr1	3900000	4000000	0.38696
GRCr8:chr1	4000000	4100000	0.42886
GRCr8:chr1	4100000	4200000	0.38514
GRCr8:chr1	4200000	4300000	0.3271
GRCr8:chr1	4300000	4400000	0.43228
GRCr8:chr1	4400000	4500000	0.3615
GRCr8:chr1	4500000	4600000	0.31818
GRCr8:chr1	4600000	4700000	0.32724
GRCr8:chr1	4700000	4800000	0.34458
GRCr8:chr1	4800000	4900000	0.47055
GRCr8:chr1	4900000	5000000	0.27948
GRCr8:chr1	5000000	5100000	0.27798
GRCr8:chr1	5100000	5200000	0.39721
GRCr8:chr1	5200000	5300000	0.28996
GRCr8:chr1	5300000	5400000	0.27915
GRCr8:chr1	5400000	5500000	0.36451
GRCr8:chr1	5500000	5600000	0.31334
GRCr8:chr1	5600000	5700000	0.25446
GRCr8:chr1	5700000	5800000	0.30073
GRCr8:chr1	5800000	5900000	0.28144
GRCr8:chr1	5900000	6000000	0.38394
GRCr8:chr1	6000000	6100000	0.24845
GRCr8:chr1	6100000	6200000	0.42483
GRCr8:chr1	6200000	6300000	0.34882
GRCr8:chr1	6300000	6400000	0.4635
GRCr8:chr1	6400000	6500000	0.3539
GRCr8:chr1	6500000	6600000	0.39324
GRCr8:chr1	6600000	6700000	0.43084
GRCr8:chr1	6700000	6800000	0.40125
GRCr8:chr1	6800000	6900000	0.43835
GRCr8:chr1	6900000	7000000	0.2544
GRCr8:chr1	7000000	7100000	0.43021
GRCr8:chr1	7100000	7200000	0.35552
GRCr8:chr1	7200000	7300000	0.38527
GRCr8:chr1	7300000	7400000	0.38945
GRCr8:chr1	7400000	7500000	0.35513
GRCr8:chr1	7500000	7600000	0.5825
GRCr8:chr1	7600000	7700000	0.51226
GRCr8:chr1	7700000	7800000	0.58222
GRCr8:chr1	7800000	7900000	0.60566
GRCr8:chr1	7900000	8000000	0.41472
GRCr8:chr1	8000000	8100000	0.38067
GRCr8:chr1	8100000	8200000	0.36325
GRCr8:chr1	8200000	8300000	0.52696
GRCr8:chr1	8300000	8400000	0.52945
GRCr8:chr1	8400000	8500000	0.46248
GRCr8:chr1	8500000	8600000	0.28087
GRCr8:chr1	8600000	8700000	0.25246
GRCr8:chr1	8700000	8800000	0.29132
GRCr8:chr1	8800000	8900000	0.2673
GRCr8:chr1	8900000	9000000	0.34028
GRCr8:chr1	9000000	9100000	0.44838
GRCr8:chr1	9100000	9200000	0.51048
GRCr8:chr1	9200000	9300000	0.57973
GRCr8:chr1	9300000	9400000	0.29685
